COLL_NOM,COLL_SIRET,COLL_TYPE,ACTE_DATE,ACTE_REF,ATTRIB_NOM,ATTRIB_SIRET,ATTRIB_TYPE,SUB_OBJET,SUB_MONTANT,SUB_NATURE,SUB_DATE_DEBUT,SUB_DATE_FIN,SUB_VERSEMENT,SUB_DISPOSITIF,ID_ENT,NOTIF_EU
Département de la Nièvre,225800010,DEP,2016-01-01,,AGORA,,,Subvention,17 833,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,ASSOCIATION DE GESTION DES RETRAITES DES ANCIENS CD,,,Subvention,92 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,COSDEN,,,Subvention,511 100,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,E-BOURGOGNE,,,Subvention,110 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,NIEVRE NUMERIQUE,,,Subvention,362 900,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,UNION AMICALE DES MAIRES DE LA NIEVRE,,,Subvention,7 655,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,ASSOCIATION PREVENTION ROUTIERE,,,Subvention,NC,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,SDIS,,,Subvention,9 644 223,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,ACTIVITAL,,,Subvention,170 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,ADESS,,,Subvention,12 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,ALARUE,,,Subvention,28 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,ALENTOURS REVEURS,,,Subvention,18 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,ASA NEVERS MAGNY COURS,,,Subvention,100 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,ASPTT NEVERS TENNIS,,,Subvention,2 250,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,AU CHARBON,,,Subvention,27 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,BMRT 3D ENDURANCE,,,Subvention,10 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,CAMOSINE,,,Subvention,100 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,CD ATHLETISME,,,Subvention,4 500,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,CD BASKET,,,Subvention,16 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,CD FOOTBALL,,,Subvention,34 000,,,,,,,
